                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.90639,                0.66429,                0.97042,                0.88759,                0.77851,                0.90933,                0.58141,                0.82013,                0.80206,                 0.9615,              0.0015974,              0.0015974,              0.0015974
                     64,                0.93223,                0.68281,                0.97321,                0.89051,                0.78106,                 0.9114,                0.59352,                0.84681,                0.79912,                0.97034,              0.0015908,              0.0015908,              0.0015908
                     65,                 0.8916,                0.66563,                 0.9606,                0.88935,                0.78212,                0.91479,                0.58772,                0.79424,                0.79021,                0.96535,              0.0015842,              0.0015842,              0.0015842
                     66,                0.89544,                0.66028,                0.96111,                 0.8863,                 0.7785,                0.91183,                0.58151,                0.81916,                0.79903,                0.97182,              0.0015776,              0.0015776,              0.0015776
                     67,                0.90487,                 0.6641,                 0.9686,                0.88936,                0.78219,                0.91356,                0.59206,                0.81265,                 0.7974,                0.96224,               0.001571,               0.001571,               0.001571
                     68,                0.90967,                0.67368,                0.97313,                0.88988,                0.78361,                0.91773,                0.59209,                0.85068,                0.78523,                 0.9648,              0.0015644,              0.0015644,              0.0015644
                     69,                0.89988,                0.66535,                0.96654,                0.88977,                0.78551,                0.91731,                0.58823,                0.87987,                0.79185,                0.98001,              0.0015578,              0.0015578,              0.0015578
                     70,                0.88622,                0.66765,                0.96352,                0.88899,                0.78233,                0.91221,                0.60446,                0.82033,                0.77502,                0.96506,              0.0015512,              0.0015512,              0.0015512
                     71,                0.90129,                0.65417,                0.96249,                0.88541,                0.78161,                0.91098,                0.59577,                0.82728,                0.77935,                0.96863,              0.0015446,              0.0015446,              0.0015446
                     72,                0.89105,                0.66067,                0.95745,                0.88666,                0.78233,                0.90724,                0.58827,                0.87506,                0.81741,                0.98376,               0.001538,               0.001538,               0.001538
                     73,                0.91433,                0.68179,                0.96984,                0.88626,                0.77821,                0.91078,                0.58843,                0.85178,                0.83409,                0.97271,              0.0015314,              0.0015314,              0.0015314
                     74,                0.89971,                0.64593,                0.96375,                0.88904,                0.78233,                0.91164,                0.59494,                0.83471,                0.80947,                0.96953,              0.0015248,              0.0015248,              0.0015248
