                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 0.8039,                0.35145,                0.91519,                0.93963,                0.81729,                0.92353,                0.62228,                 1.2819,                0.62788,                0.98772,              0.0015248,              0.0015248,              0.0015248
                     51,                0.80981,                0.35051,                0.91743,                0.90582,                0.83159,                0.90458,                0.60589,                 1.2872,                 0.6637,                0.99344,              0.0015149,              0.0015149,              0.0015149
                     52,                0.79341,                0.35255,                0.91192,                0.94004,                0.84176,                0.92141,                0.62231,                 1.2839,                0.64309,                0.98909,               0.001505,               0.001505,               0.001505
                     53,                0.80544,                 0.3492,                0.91929,                0.94195,                0.82059,                0.91323,                0.61449,                 1.2709,                0.60104,                0.99741,              0.0014951,              0.0014951,              0.0014951
                     54,                0.79291,                0.34804,                 0.9082,                0.91271,                0.85808,                 0.9243,                0.62105,                 1.3257,                0.64524,                0.98222,              0.0014852,              0.0014852,              0.0014852
                     55,                 0.7848,                0.34539,                0.91563,                 0.8635,                0.88744,                0.92385,                0.63478,                 1.2703,                0.64146,                0.98439,              0.0014753,              0.0014753,              0.0014753
                     56,                0.81723,                0.35425,                0.92088,                0.91179,                0.83197,                0.90607,                0.61385,                 1.2848,                0.66094,                 0.9764,              0.0014654,              0.0014654,              0.0014654
                     57,                0.78469,                 0.3499,                0.91098,                0.89826,                0.84992,                0.91665,                0.62564,                 1.2578,                0.67994,                0.98591,              0.0014555,              0.0014555,              0.0014555
                     58,                0.78886,                0.34367,                0.91382,                0.87973,                0.87111,                0.92057,                0.62055,                 1.2805,                0.62351,                0.99321,              0.0014456,              0.0014456,              0.0014456
                     59,                0.78947,                0.34675,                0.91572,                0.90305,                0.85096,                0.91454,                0.60736,                 1.3064,                 0.6551,                0.98441,              0.0014357,              0.0014357,              0.0014357
                     60,                0.79213,                0.34827,                0.91229,                0.96349,                0.82545,                0.92173,                0.62663,                  1.267,                0.62413,                0.96658,              0.0014258,              0.0014258,              0.0014258
                     61,                0.78836,                0.34339,                0.91705,                 0.9605,                0.82219,                0.91036,                0.60951,                 1.3304,                0.68313,                 1.0041,              0.0014159,              0.0014159,              0.0014159
                     62,                0.77785,                0.33869,                0.92103,                0.89377,                0.86471,                0.91914,                0.62227,                  1.294,                0.63116,                0.99272,               0.001406,               0.001406,               0.001406
                     63,                 0.7984,                0.34558,                0.91109,                0.89938,                0.84573,                0.90258,                0.60915,                 1.2854,                0.69501,                0.99051,              0.0013961,              0.0013961,              0.0013961
                     64,                0.79256,                0.34215,                0.91606,                0.90573,                0.85644,                0.91801,                0.61552,                 1.2581,                0.68574,                0.96891,              0.0013862,              0.0013862,              0.0013862
                     65,                0.77749,                0.33642,                0.90914,                0.93219,                 0.8297,                 0.9151,                0.62494,                 1.2659,                0.69158,                0.97862,              0.0013763,              0.0013763,              0.0013763
                     66,                0.78353,                0.33401,                0.91609,                0.90992,                0.85687,                0.92883,                0.63475,                 1.2622,                0.67247,                0.98296,              0.0013664,              0.0013664,              0.0013664
                     67,                0.79272,                0.33985,                0.91134,                0.91388,                0.83095,                0.92576,                0.62362,                 1.2532,                0.63903,                0.97364,              0.0013565,              0.0013565,              0.0013565
                     68,                0.78072,                0.33584,                0.91192,                0.89664,                0.85644,                0.92175,                0.62787,                 1.2712,                 0.6271,                0.99068,              0.0013466,              0.0013466,              0.0013466
                     69,                0.77426,                0.33565,                0.91252,                0.90507,                0.88418,                 0.9278,                0.62491,                 1.2588,                0.61506,                0.97352,              0.0013367,              0.0013367,              0.0013367
                     70,                0.79151,                0.33427,                0.91083,                0.88365,                0.89233,                0.92251,                0.62977,                 1.2577,                0.62107,                0.98409,              0.0013268,              0.0013268,              0.0013268
                     71,                 0.7932,                0.33632,                0.91858,                0.88803,                0.86681,                0.92123,                0.62741,                 1.2732,                0.64432,                 0.9779,              0.0013169,              0.0013169,              0.0013169
                     72,                0.77147,                0.33057,                0.91259,                0.87038,                0.88744,                0.91782,                0.62382,                 1.2888,                0.63627,                0.97145,               0.001307,               0.001307,               0.001307
                     73,                0.79518,                0.34041,                0.91637,                 0.8704,                0.87646,                0.91454,                0.63009,                   1.28,                0.64084,                0.97359,              0.0012971,              0.0012971,              0.0012971
                     74,                 0.7811,                0.33566,                0.90992,                0.89221,                0.86419,                 0.9143,                0.61754,                 1.3151,                0.64897,                0.99199,              0.0012872,              0.0012872,              0.0012872
                     75,                0.77657,                0.33254,                0.90815,                0.90193,                 0.8702,                0.92426,                0.63283,                 1.2991,                0.66006,                0.99279,              0.0012773,              0.0012773,              0.0012773
                     76,                  0.766,                0.33016,                 0.9078,                0.93976,                 0.8385,                0.92633,                0.61957,                 1.2986,                0.62473,                0.98942,              0.0012674,              0.0012674,              0.0012674
                     77,                 0.7857,                0.33571,                0.91576,                0.92598,                0.81566,                0.90715,                0.60939,                 1.3092,                0.64839,                0.99342,              0.0012575,              0.0012575,              0.0012575
                     78,                0.78614,                0.33278,                0.91783,                0.92375,                   0.83,                0.91563,                0.62751,                 1.3194,                0.65505,                0.97357,              0.0012476,              0.0012476,              0.0012476
                     79,                0.77166,                0.32936,                0.91192,                 0.9123,                0.85155,                0.92033,                0.63479,                 1.2688,                 0.6134,                0.96373,              0.0012377,              0.0012377,              0.0012377
                     80,                 0.7699,                0.33125,                0.91196,                0.91961,                0.84666,                0.91915,                0.63105,                 1.2471,                0.63233,                0.97198,              0.0012278,              0.0012278,              0.0012278
                     81,                0.77213,                0.33019,                0.91118,                0.87545,                0.88293,                0.92504,                0.64073,                 1.2569,                0.61863,                0.97249,              0.0012179,              0.0012179,              0.0012179
                     82,                0.76832,                0.32671,                0.90886,                 0.9015,                0.86593,                0.92038,                0.62234,                 1.2508,                0.60995,                0.97457,               0.001208,               0.001208,               0.001208
